line,group_id,company,accident_year,exposure
comauto,266,Public Underwriters Grp,1988,0
comauto,266,Public Underwriters Grp,1989,25
comauto,266,Public Underwriters Grp,1990,265
comauto,266,Public Underwriters Grp,1991,512
comauto,266,Public Underwriters Grp,1992,578
comauto,266,Public Underwriters Grp,1993,2080
comauto,266,Public Underwriters Grp,1994,2337
comauto,266,Public Underwriters Grp,1995,1983
comauto,266,Public Underwriters Grp,1996,1322
comauto,266,Public Underwriters Grp,1997,1069
comauto,337,California Cas Grp,1988,3025
comauto,337,California Cas Grp,1989,3128
comauto,337,California Cas Grp,1990,1766
comauto,337,California Cas Grp,1991,2805
comauto,337,California Cas Grp,1992,1362
comauto,337,California Cas Grp,1993,389
comauto,337,California Cas Grp,1994,221
comauto,337,California Cas Grp,1995,274
comauto,337,California Cas Grp,1996,-29
comauto,337,California Cas Grp,1997,-6
comauto,353,Celina Mut Grp,1988,5812
comauto,353,Celina Mut Grp,1989,4908
comauto,353,Celina Mut Grp,1990,5454
comauto,353,Celina Mut Grp,1991,5165
comauto,353,Celina Mut Grp,1992,5214
comauto,353,Celina Mut Grp,1993,5230
comauto,353,Celina Mut Grp,1994,4992
comauto,353,Celina Mut Grp,1995,5466
comauto,353,Celina Mut Grp,1996,5226
comauto,353,Celina Mut Grp,1997,4962
comauto,388,Federal Ins Co Grp,1988,91701
comauto,388,Federal Ins Co Grp,1989,91905
comauto,388,Federal Ins Co Grp,1990,94492
comauto,388,Federal Ins Co Grp,1991,103361
comauto,388,Federal Ins Co Grp,1992,105558
comauto,388,Federal Ins Co Grp,1993,91202
comauto,388,Federal Ins Co Grp,1994,106537
comauto,388,Federal Ins Co Grp,1995,117950
comauto,388,Federal Ins Co Grp,1996,132895
comauto,388,Federal Ins Co Grp,1997,150549
comauto,460,Buckeye Ins Grp,1988,0
comauto,460,Buckeye Ins Grp,1989,0
comauto,460,Buckeye Ins Grp,1990,0
comauto,460,Buckeye Ins Grp,1991,0
comauto,460,Buckeye Ins Grp,1992,0
comauto,460,Buckeye Ins Grp,1993,0
comauto,460,Buckeye Ins Grp,1994,0
comauto,460,Buckeye Ins Grp,1995,0
comauto,460,Buckeye Ins Grp,1996,0
comauto,460,Buckeye Ins Grp,1997,19
comauto,620,Employers Mut Co Of Des Moines,1988,30224
comauto,620,Employers Mut Co Of Des Moines,1989,35778
comauto,620,Employers Mut Co Of Des Moines,1990,42257
comauto,620,Employers Mut Co Of Des Moines,1991,47171
comauto,620,Employers Mut Co Of Des Moines,1992,53546
comauto,620,Employers Mut Co Of Des Moines,1993,58004
comauto,620,Employers Mut Co Of Des Moines,1994,64119
comauto,620,Employers Mut Co Of Des Moines,1995,68613
comauto,620,Employers Mut Co Of Des Moines,1996,74552
comauto,620,Employers Mut Co Of Des Moines,1997,78855
comauto,655,FM Global,1988,-3
comauto,655,FM Global,1989,5
comauto,655,FM Global,1990,6
comauto,655,FM Global,1991,6
comauto,655,FM Global,1992,-2
comauto,655,FM Global,1993,0
comauto,655,FM Global,1994,0
comauto,655,FM Global,1995,0
comauto,655,FM Global,1996,0
comauto,655,FM Global,1997,0
comauto,671,Farm Bureau Of MI Grp,1988,3240
comauto,671,Farm Bureau Of MI Grp,1989,3502
comauto,671,Farm Bureau Of MI Grp,1990,3761
comauto,671,Farm Bureau Of MI Grp,1991,4028
comauto,671,Farm Bureau Of MI Grp,1992,5100
comauto,671,Farm Bureau Of MI Grp,1993,5889
comauto,671,Farm Bureau Of MI Grp,1994,7163
comauto,671,Farm Bureau Of MI Grp,1995,7843
comauto,671,Farm Bureau Of MI Grp,1996,8878
comauto,671,Farm Bureau Of MI Grp,1997,10063
comauto,715,West Bend Mut Ins Grp,1988,6935
comauto,715,West Bend Mut Ins Grp,1989,7481
comauto,715,West Bend Mut Ins Grp,1990,8919
comauto,715,West Bend Mut Ins Grp,1991,10365
comauto,715,West Bend Mut Ins Grp,1992,12075
comauto,715,West Bend Mut Ins Grp,1993,14156
comauto,715,West Bend Mut Ins Grp,1994,16498
comauto,715,West Bend Mut Ins Grp,1995,19958
comauto,715,West Bend Mut Ins Grp,1996,22299
comauto,715,West Bend Mut Ins Grp,1997,24122
comauto,833,Grange Ins Asn Grp,1988,2810
comauto,833,Grange Ins Asn Grp,1989,2791
comauto,833,Grange Ins Asn Grp,1990,2894
comauto,833,Grange Ins Asn Grp,1991,2938
comauto,833,Grange Ins Asn Grp,1992,2960
comauto,833,Grange Ins Asn Grp,1993,3017
comauto,833,Grange Ins Asn Grp,1994,3161
comauto,833,Grange Ins Asn Grp,1995,3358
comauto,833,Grange Ins Asn Grp,1996,3599
comauto,833,Grange Ins Asn Grp,1997,3606
comauto,965,Secura Ins Co,1988,1484
comauto,965,Secura Ins Co,1989,1617
comauto,965,Secura Ins Co,1990,1870
comauto,965,Secura Ins Co,1991,2014
comauto,965,Secura Ins Co,1992,2639
comauto,965,Secura Ins Co,1993,2701
comauto,965,Secura Ins Co,1994,2820
comauto,965,Secura Ins Co,1995,3291
comauto,965,Secura Ins Co,1996,5174
comauto,965,Secura Ins Co,1997,5224
comauto,1066,Island Ins Cos Grp,1988,5103
comauto,1066,Island Ins Cos Grp,1989,5196
comauto,1066,Island Ins Cos Grp,1990,6947
comauto,1066,Island Ins Cos Grp,1991,9482
comauto,1066,Island Ins Cos Grp,1992,10976
comauto,1066,Island Ins Cos Grp,1993,11893
comauto,1066,Island Ins Cos Grp,1994,13029
comauto,1066,Island Ins Cos Grp,1995,12511
comauto,1066,Island Ins Cos Grp,1996,14372
comauto,1066,Island Ins Cos Grp,1997,7371
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1988,2617
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1989,2825
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1990,2934
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1991,2933
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1992,3227
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1993,3575
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1994,3802
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1995,4058
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1996,4246
comauto,1090,Kentucky Farm Bureau Mut Ins Grp,1997,4448
comauto,1279,American Modern Ins Grp Inc,1988,0
comauto,1279,American Modern Ins Grp Inc,1989,0
comauto,1279,American Modern Ins Grp Inc,1990,0
comauto,1279,American Modern Ins Grp Inc,1991,0
comauto,1279,American Modern Ins Grp Inc,1992,30
comauto,1279,American Modern Ins Grp Inc,1993,221
comauto,1279,American Modern Ins Grp Inc,1994,1005
comauto,1279,American Modern Ins Grp Inc,1995,2236
comauto,1279,American Modern Ins Grp Inc,1996,2913
comauto,1279,American Modern Ins Grp Inc,1997,3461
comauto,1538,Farmers Automobile Grp,1988,9147
comauto,1538,Farmers Automobile Grp,1989,9854
comauto,1538,Farmers Automobile Grp,1990,11142
comauto,1538,Farmers Automobile Grp,1991,11380
